Airfoil,Degrees,CL,CD,CM
2032c,0,0.20178233600929418,0.029925917012567523,-0.02513983907378361
2032c,5,0.24011873938471437,0.03347454602786421,-0.033833384109369515
a18sm,0,0.5016335105216462,0.005876287301095877,-0.12032370279121855
a18sm,5,1.0282619413246192,0.010181848380147534,-0.11347436165793408
b29tip,0,0.18243935967448577,0.01454066039233763,-0.03979808701165745
b29tip,5,0.7518649328164485,0.011935705569321811,-0.023694722318052676
b737b,0,0.19798968977968406,0.016034818408764404,-0.024233512744194108
b737b,5,0.5127753892136778,0.06171555186752884,-0.014437020651110345
naca6412,0,0.6801178487344683,0.007774438684556739,-0.14753915501774453
naca6412,5,1.2138490194831708,0.008364009605522043,-0.1423078338266876
